Term,Text:1,Text:2,Text:3
знаменит,1,2,0
учен,3,2,3
стив,2,3,2
хокинг,3,3,4
рассказа,1,0,0
в,8,9,10
интерв,1,1,0
тасс,2,1,0
о,1,1,0
будущ,3,1,1
человечеств,3,3,3
на,5,5,4
марс,4,4,5
по,4,1,1
мнен,3,1,0
физик,2,1,1
теоретик,1,1,1
колонизац,1,1,1
состоя,1,0,0
ближайш,1,2,2
100,1,1,0
лет,2,2,3
вниман,1,1,0
nasa,1,1,0
и,8,7,3
друг,2,2,1
миров,1,1,0
космическ,2,2,3
агентств,1,2,0
сосредоточ,1,1,0
эт,2,3,0
близк,1,1,0
похож,1,1,0
земл,6,5,1
планет,2,3,1
с,4,3,2
почв,1,1,0
атмосфер,1,1,0
хот,1,0,0
колонизирова,1,1,2
лун,1,1,0
был,2,1,1
бы,2,2,0
прост,1,1,1
он,2,2,0
наход,1,0,0
всег,1,0,0
лиш,1,0,0
трех,1,0,0
ден,1,0,0
полет,1,0,0
от,2,0,1
освоен,1,1,1
представля,1,1,0
бол,2,1,1
интересн,1,1,0
задач,1,1,0
потребова,1,0,0
создан,1,1,0
действительн,1,1,0
автономн,1,1,1
колон,1,1,1
увер,1,1,1
профессор,1,1,0
гравитацион,1,0,0
кембриджск,1,1,0
университет,1,1,0
счита,1,1,3
что,1,3,5
необходим,1,2,3
вкладыва,1,0,0
инвестиц,1,1,1
разработк,1,0,0
способ,1,0,0
выживан,3,1,3
услов,1,1,3
радиац,1,1,2
изучен,1,0,0
опасн,2,0,1
негативн,1,0,2
изменен,1,0,1
человеческ,1,0,1
организм,1,0,2
поиск,1,0,0
зам,1,0,0
жизнен,1,1,1
важн,1,1,1
ресурс,1,1,1
сообща,1,0,1
прийт,1,1,0
для,3,3,3
покинут,1,1,0
найт,1,0,0
убежищ,1,0,0
существова,2,1,1
множеств,1,1,0
угроз,3,2,1
наш,2,2,1
дальн,1,1,0
существован,1,1,0
например,1,1,0
ядерн,1,1,1
войн,1,1,1
катастрофическ,1,1,1
глобальн,1,1,1
потеплен,1,1,1
генетическ,1,1,1
модифицирова,1,1,1
вирус,1,1,1
числ,1,1,0
вероятн,2,1,0
увелич,1,1,0
развит,1,1,1
нов,1,2,0
технолог,1,1,1
отмет,1,0,0
гибел,1,0,1
столкновен,2,0,2
как,1,3,2
либ,1,0,1
небесн,1,0,0
тел,1,0,1
не,1,1,2
больш,1,0,0
чем,1,1,1
наступлен,1,0,0
конец,1,1,1
свет,1,0,0
вин,1,0,0
сам,1,0,0
люд,1,0,0
последн,1,0,1
крупн,1,0,1
астероид,1,0,1
70,1,0,1
млн,1,0,1
назад,1,0,1
явн,1,0,1
добав,1,0,0
британск,0,1,0
информацион,0,1,0
выраз,0,1,0
уверен,0,1,0
том,0,4,2
произойт,0,1,0
течен,0,2,1
ста,0,1,1
значительн,0,1,1
учитыва,0,1,0
расстоян,0,1,0
межд,0,1,0
однак,0,1,0
красн,0,1,0
так,0,1,1
требова,0,1,0
у,0,1,1
мен,0,1,1
нет,0,1,1
сомнен,0,1,1
человек,0,1,4
быт,0,1,3
жит,0,1,1
знан,0,1,1
выж,0,1,1
борот,0,1,0
отсутств,0,1,1
за,0,1,0
предел,0,1,0
говор,0,2,1
такж,0,1,1
мы,0,1,0
рассредоточ,0,1,1
космос,0,1,1
отправ,0,1,0
к,0,1,0
звезд,0,1,0
чтоб,0,1,2
катастроф,0,1,1
означа,0,1,0
всемирн,0,0,1
известн,0,0,1
столет,0,0,1
rusargument,0,0,1
сомнева,0,0,1
сто,0,0,1
созда,0,0,1
полноцен,0,0,1
при,0,0,1
финансирован,0,0,1
научн,0,0,1
работ,0,0,1
вопрос,0,0,1
влиян,0,0,1
преодолен,0,0,1
вполн,0,0,1
реальн,0,0,1
причин,0,0,1
земн,0,0,1
цивилизац,0,0,1
скор,0,0,1
моч,0,0,1
стат,0,0,2
плод,0,0,1
поэт,0,0,1
сообщ,0,0,1
тог,0,0,1
а,0,0,1
котор,0,0,1
помоч,0,0,1
убереч,0,0,1
