Term,Text:1,Text:2,Text:3,Text:4,Text:5,Text:6
знаменит,1,2,0,0,0,1
учен,3,2,3,2,0,4
стив,2,3,2,1,0,3
хокинг,3,3,4,4,0,3
рассказа,1,0,0,0,0,0
в,8,9,10,7,13,9
интерв,1,1,0,0,0,0
тасс,2,1,0,0,0,1
о,1,1,0,3,0,2
будущ,3,1,1,3,0,1
человечеств,3,3,3,3,2,3
на,5,5,4,3,7,4
марс,4,4,5,4,7,5
по,4,1,1,2,0,3
мнен,3,1,0,2,0,1
физик,2,1,1,2,0,0
теоретик,1,1,1,0,0,0
колонизац,1,1,1,0,3,1
состоя,1,0,0,0,0,0
ближайш,1,2,2,2,1,4
100,1,1,0,0,0,1
лет,2,2,3,2,0,3
вниман,1,1,0,1,0,0
nasa,1,1,0,0,1,0
и,8,7,3,3,5,5
друг,2,2,1,1,2,1
миров,1,1,0,0,0,0
космическ,2,2,3,2,3,2
агентств,1,2,0,1,1,0
сосредоточ,1,1,0,0,0,0
эт,2,3,0,4,3,3
близк,1,1,0,0,1,0
похож,1,1,0,1,0,0
земл,6,5,1,4,1,4
планет,2,3,1,5,2,2
с,4,3,2,0,5,2
почв,1,1,0,1,0,0
атмосфер,1,1,0,1,0,0
хот,1,0,0,0,0,0
колонизирова,1,1,2,1,1,2
лун,1,1,0,0,0,1
был,2,1,1,0,0,1
бы,2,2,0,0,0,2
прост,1,1,1,0,0,1
он,2,2,0,2,0,1
наход,1,0,0,0,0,0
всег,1,0,0,0,0,0
лиш,1,0,0,0,0,0
трех,1,0,0,0,0,0
ден,1,0,0,0,0,0
полет,1,0,0,0,4,0
от,2,0,1,1,0,1
освоен,1,1,1,0,0,1
представля,1,1,0,1,0,1
бол,2,1,1,1,0,2
интересн,1,1,0,0,0,1
задач,1,1,0,0,0,1
потребова,1,0,0,0,0,0
создан,1,1,0,0,1,1
действительн,1,1,0,0,0,1
автономн,1,1,1,0,0,1
колон,1,1,1,0,0,1
увер,1,1,1,0,0,1
профессор,1,1,0,0,0,1
гравитацион,1,0,0,0,0,0
кембриджск,1,1,0,0,0,1
университет,1,1,0,0,0,1
счита,1,1,3,1,0,0
что,1,3,5,6,2,3
необходим,1,2,3,2,1,3
вкладыва,1,0,0,0,0,0
инвестиц,1,1,1,0,0,1
разработк,1,0,0,0,1,0
способ,1,0,0,0,0,0
выживан,3,1,3,0,0,1
услов,1,1,3,0,0,1
радиац,1,1,2,0,0,1
изучен,1,0,0,0,0,0
опасн,2,0,1,5,0,1
негативн,1,0,2,0,0,0
изменен,1,0,1,0,0,0
человеческ,1,0,1,1,3,0
организм,1,0,2,1,0,1
поиск,1,0,0,0,0,0
зам,1,0,0,0,0,0
жизнен,1,1,1,0,0,1
важн,1,1,1,0,0,1
ресурс,1,1,1,0,0,1
сообща,1,0,1,0,0,0
прийт,1,1,0,0,0,1
для,3,3,3,6,2,4
покинут,1,1,0,0,0,1
найт,1,0,0,0,0,0
убежищ,1,0,0,0,0,0
существова,2,1,1,0,0,1
множеств,1,1,0,0,0,1
угроз,3,2,1,2,0,2
наш,2,2,1,1,0,2
дальн,1,1,0,0,0,1
существован,1,1,0,0,0,1
например,1,1,0,0,1,1
ядерн,1,1,1,1,0,1
войн,1,1,1,1,0,1
катастрофическ,1,1,1,0,0,1
глобальн,1,1,1,1,2,1
потеплен,1,1,1,1,0,1
генетическ,1,1,1,1,0,1
модифицирова,1,1,1,1,0,1
вирус,1,1,1,1,0,1
числ,1,1,0,0,0,1
вероятн,2,1,0,0,1,1
увелич,1,1,0,0,0,1
развит,1,1,1,0,1,1
нов,1,2,0,0,2,2
технолог,1,1,1,0,1,1
отмет,1,0,0,2,0,0
гибел,1,0,1,0,0,0
столкновен,2,0,2,0,1,0
как,1,3,2,5,3,5
либ,1,0,1,0,0,0
небесн,1,0,0,0,0,0
тел,1,0,1,0,0,0
не,1,1,2,3,0,1
больш,1,0,0,0,3,0
чем,1,1,1,0,0,1
наступлен,1,0,0,0,0,0
конец,1,1,1,0,0,1
свет,1,0,0,0,0,0
вин,1,0,0,0,0,0
сам,1,0,0,0,0,0
люд,1,0,0,0,0,0
последн,1,0,1,1,0,0
крупн,1,0,1,1,0,0
астероид,1,0,1,0,1,0
70,1,0,1,1,0,0
млн,1,0,1,0,0,0
назад,1,0,1,1,0,0
явн,1,0,1,0,0,0
добав,1,0,0,0,0,0
британск,0,1,0,1,0,1
информацион,0,1,0,0,0,0
выраз,0,1,0,0,0,0
уверен,0,1,0,0,0,0
том,0,4,2,2,1,4
произойт,0,1,0,2,1,1
течен,0,2,1,1,0,3
ста,0,1,1,0,0,2
значительн,0,1,1,0,0,1
учитыва,0,1,0,0,0,1
расстоян,0,1,0,0,0,1
межд,0,1,0,0,0,1
однак,0,1,0,0,0,1
красн,0,1,0,0,0,1
так,0,1,1,2,1,1
требова,0,1,0,0,1,1
у,0,1,1,1,0,2
мен,0,1,1,0,0,1
нет,0,1,1,1,0,2
сомнен,0,1,1,1,0,2
человек,0,1,4,3,3,3
быт,0,1,3,1,1,2
жит,0,1,1,0,0,1
знан,0,1,1,0,0,1
выж,0,1,1,0,0,1
борот,0,1,0,0,0,1
отсутств,0,1,1,0,0,1
за,0,1,0,0,2,1
предел,0,1,0,0,0,1
говор,0,2,1,1,0,0
такж,0,1,1,0,0,1
мы,0,1,0,0,0,1
рассредоточ,0,1,1,0,0,1
космос,0,1,1,0,1,1
отправ,0,1,0,1,0,1
к,0,1,0,1,0,1
звезд,0,1,0,0,0,1
чтоб,0,1,2,1,1,2
катастроф,0,1,1,0,3,1
означа,0,1,0,0,0,1
всемирн,0,0,1,0,0,0
известн,0,0,1,1,0,0
столет,0,0,1,1,0,0
rusargument,0,0,1,0,0,0
сомнева,0,0,1,0,0,0
